Zespol,Slupek,Lines,RealTime,TimeTable
2105,01,182,2024-01-18 17:44:59,17:44:00
2105,01,182,2024-01-18 17:43:49,17:44:00
2114,02,202,2024-01-18 18:40:17,18:40:00
2121,02,102,2024-01-18 18:33:13,18:33:00
2129,02,311,2024-01-18 18:18:02,18:19:00
2134,02,521,2024-01-18 18:33:16,18:33:00
2143,01,117,2024-01-18 17:47:51,17:47:00
2145,02,111,2024-01-18 17:44:58,17:44:00
2148,01,111,2024-01-18 18:13:04,18:14:00
2148,01,111,2024-01-18 18:14:06,18:14:00
2148,01,111,2024-01-18 18:01:03,18:02:00
2148,01,111,2024-01-18 18:02:04,18:02:00
2148,02,507,2024-01-18 18:30:10,18:31:00
2149,03,123,2024-01-18 18:36:09,18:36:00
2182,03,161,2024-01-18 18:18:06,18:18:00
2182,03,161,2024-01-18 17:47:56,17:48:00
2188,01,142,2024-01-18 18:01:05,18:01:00
2188,04,219,2024-01-18 18:24:11,18:24:00
2189,01,119,2024-01-18 18:20:07,18:20:00
2190,01,142,2024-01-18 18:04:09,18:04:00
2191,01,147,2024-01-18 18:04:54,18:05:00
2207,01,147,2024-01-18 17:43:49,17:44:00
2209,02,146,2024-01-18 18:22:09,18:23:00
2259,01,202,2024-01-18 18:15:08,18:16:00
2275,03,147,2024-01-18 17:45:56,17:46:00
2281,03,198,2024-01-18 17:47:55,17:47:00
2285,01,173,2024-01-18 18:09:02,18:09:00
2294,02,502,2024-01-18 18:29:09,18:29:00
2295,02,502,2024-01-18 18:30:16,18:30:00
2347,01,173,2024-01-18 18:01:57,18:01:00
2349,01,198,2024-01-18 18:32:09,18:32:00
2349,01,502,2024-01-18 18:03:01,18:03:00
2379,01,183,2024-01-18 17:47:58,17:47:00
2379,01,183,2024-01-18 18:10:09,18:11:00
2397,01,202,2024-01-18 18:02:01,18:02:00
2402,02,219,2024-01-18 18:02:59,18:02:00
2417,01,311,2024-01-18 18:05:57,18:05:00
2432,02,L48,2024-01-18 18:13:03,18:13:00
2440,03,173,2024-01-18 18:02:00,18:02:00
2440,03,173,2024-01-18 18:02:47,18:02:00
2440,03,173,2024-01-18 18:29:06,18:30:00
2440,03,173,2024-01-18 18:30:08,18:30:00
2440,05,502,2024-01-18 17:50:01,17:51:00
2440,05,502,2024-01-18 17:50:56,17:51:00
2440,05,502,2024-01-18 18:10:09,18:11:00
2440,05,502,2024-01-18 18:11:05,18:11:00
2440,05,502,2024-01-18 18:17:09,18:17:00
2869,03,L51,2024-01-18 18:05:59,18:05:00
3005,01,141,2024-01-18 18:07:10,18:08:00
3009,15,217,2024-01-18 17:47:44,17:48:00
3015,01,709,2024-01-18 18:35:09,18:35:00
3019,02,709,2024-01-18 18:31:59,18:32:00
3029,01,166,2024-01-18 18:21:12,18:21:00
3029,02,401,2024-01-18 18:36:12,18:36:00
3044,07,116,2024-01-18 18:34:12,18:35:00
3046,02,251,2024-01-18 17:55:01,17:56:00
3049,01,251,2024-01-18 17:57:44,17:58:00
3058,01,180,2024-01-18 17:45:53,17:46:00
3059,02,162,2024-01-18 18:17:10,18:18:00
3059,01,187,2024-01-18 18:40:17,18:41:00
3061,02,131,2024-01-18 17:43:50,17:44:00
3061,02,180,2024-01-18 18:24:12,18:24:00
3064,04,185,2024-01-18 18:40:12,18:40:00
3065,05,131,2024-01-18 17:44:58,17:45:00
3065,02,180,2024-01-18 18:06:51,18:07:00
