Zespol,Slupek,Lines,RealTime,TimeTable
1253,07,516,2024-01-18 12:10:42,12:03:00
1253,07,516,2024-01-18 12:10:42,12:18:00
1253,07,516,2024-01-18 12:11:47,12:18:00
1253,07,516,2024-01-18 12:13:48,12:18:00
1253,07,516,2024-01-18 12:14:54,12:18:00
1253,07,516,2024-01-18 12:15:50,12:18:00
1253,08,518,2024-01-18 12:13:47,12:18:00
1256,03,314,2024-01-18 12:19:54,12:18:00
1277,07,133,2024-01-18 11:51:35,11:50:00
1277,07,133,2024-01-18 11:52:31,11:50:00
1277,07,133,2024-01-18 11:53:38,11:50:00
1277,07,133,2024-01-18 11:54:40,11:50:00
1277,07,152,2024-01-18 12:23:00,12:20:00
1277,07,152,2024-01-18 12:23:55,12:20:00
1277,07,152,2024-01-18 12:25:01,12:20:00
1277,07,152,2024-01-18 12:25:57,12:20:00
1277,07,152,2024-01-18 12:27:03,12:20:00
1277,02,186,2024-01-18 11:48:42,11:46:00
1277,09,314,2024-01-18 11:45:30,11:47:00
1278,02,211,2024-01-18 12:09:43,12:06:00
1286,01,226,2024-01-18 11:53:44,11:52:00
1295,01,120,2024-01-18 12:04:43,11:57:00
1295,01,120,2024-01-18 12:09:44,12:17:00
1295,01,120,2024-01-18 12:10:30,12:17:00
1295,01,120,2024-01-18 12:11:50,12:17:00
1295,01,120,2024-01-18 12:13:41,12:17:00
1295,01,120,2024-01-18 12:14:44,12:17:00
1295,01,120,2024-01-18 12:15:48,12:17:00
1298,01,186,2024-01-18 12:13:50,12:12:00
1298,01,509,2024-01-18 11:54:37,11:53:00
1298,01,509,2024-01-18 12:09:48,12:03:00
1298,01,509,2024-01-18 12:09:48,12:13:00
1301,01,190,2024-01-18 11:49:33,11:48:00
1302,01,L-8,2024-01-18 12:37:01,12:36:00
1315,02,211,2024-01-18 12:05:40,12:04:00
1316,02,211,2024-01-18 12:06:37,12:04:00
1332,02,199,2024-01-18 12:00:37,11:59:00
1359,02,152,2024-01-18 12:17:52,12:26:00
1359,02,152,2024-01-18 12:18:58,12:26:00
1359,02,152,2024-01-18 12:19:54,12:26:00
1359,02,152,2024-01-18 12:21:54,12:26:00
1359,02,152,2024-01-18 12:23:00,12:26:00
1359,02,152,2024-01-18 12:23:56,12:26:00
1402,02,518,2024-01-18 12:32:59,12:34:00
1474,03,245,2024-01-18 12:41:58,12:43:00
1479,02,L49,2024-01-18 12:32:58,12:34:00
1497,01,211,2024-01-18 12:11:50,12:10:00
1497,02,211,2024-01-18 11:50:18,11:49:00
1500,01,211,2024-01-18 12:09:45,12:07:00
1512,02,104,2024-01-18 12:36:04,12:35:00
1517,02,120,2024-01-18 12:01:37,12:04:00
1558,02,234,2024-01-18 12:01:36,11:54:00
1560,02,152,2024-01-18 12:08:39,12:07:00
1680,01,738,2024-01-18 12:15:49,12:13:00
1709,01,L27,2024-01-18 12:36:04,12:28:00
2001,09,102,2024-01-18 12:40:09,12:37:00
2001,01,509,2024-01-18 11:45:34,11:43:00
2001,01,509,2024-01-18 11:45:34,11:53:00
2002,01,135,2024-01-18 12:38:05,12:36:00
2004,02,135,2024-01-18 12:19:55,12:17:00
2008,22,123,2024-01-18 11:53:36,11:52:00
2008,16,145,2024-01-18 11:45:15,11:51:00
2008,17,148,2024-01-18 12:23:45,12:22:00
2010,02,143,2024-01-18 12:15:53,12:14:00
2011,08,135,2024-01-18 12:41:58,12:38:00
2014,01,173,2024-01-18 12:35:01,12:33:00
2015,01,173,2024-01-18 12:01:37,12:03:00
2028,01,147,2024-01-18 12:13:49,12:15:00
2032,01,525,2024-01-18 11:47:35,11:50:00
2032,01,525,2024-01-18 11:48:43,11:50:00
2032,01,525,2024-01-18 11:52:35,11:50:00
2032,01,525,2024-01-18 11:53:43,11:50:00
2032,01,525,2024-01-18 11:55:44,11:50:00
2032,01,525,2024-01-18 11:56:39,11:50:00
2032,01,525,2024-01-18 11:59:35,12:05:00
2032,01,525,2024-01-18 12:00:42,12:05:00
2032,01,525,2024-01-18 12:25:58,12:20:00
2032,01,525,2024-01-18 12:27:03,12:20:00
2032,01,525,2024-01-18 12:27:03,12:35:00
2032,01,525,2024-01-18 12:32:04,12:35:00
2032,01,525,2024-01-18 12:32:59,12:35:00
2032,01,525,2024-01-18 12:07:42,12:05:00
2032,01,525,2024-01-18 12:15:52,12:20:00
2032,01,525,2024-01-18 12:17:54,12:20:00
2032,01,525,2024-01-18 12:19:00,12:20:00
2048,05,161,2024-01-18 11:55:41,11:54:00
2052,04,146,2024-01-18 12:17:45,12:24:00
2052,04,146,2024-01-18 12:18:46,12:24:00
2052,04,146,2024-01-18 12:19:46,12:24:00
2052,04,146,2024-01-18 12:21:46,12:24:00
2052,04,146,2024-01-18 12:22:46,12:24:00
2057,03,213,2024-01-18 12:13:44,12:22:00
2057,03,213,2024-01-18 11:45:30,11:52:00
2057,03,213,2024-01-18 11:47:31,11:52:00
2057,03,213,2024-01-18 11:48:31,11:52:00
2057,03,213,2024-01-18 11:49:32,11:52:00
2057,03,213,2024-01-18 11:50:32,11:52:00
2059,01,402,2024-01-18 12:38:07,12:37:00
2060,01,173,2024-01-18 12:27:03,12:26:00
2062,01,173,2024-01-18 12:25:03,12:24:00
2064,05,115,2024-01-18 12:14:38,12:09:00
2064,01,402,2024-01-18 12:19:48,12:17:00
2064,03,520,2024-01-18 11:47:35,11:54:00
2064,03,520,2024-01-18 11:55:44,11:54:00
2064,03,520,2024-01-18 11:56:39,11:54:00
2064,03,520,2024-01-18 12:06:37,12:09:00
2064,03,520,2024-01-18 12:37:00,12:39:00
2070,06,115,2024-01-18 12:00:41,12:02:00
2083,01,115,2024-01-18 12:21:46,12:18:00
2086,01,143,2024-01-18 12:10:44,12:12:00
2086,02,153,2024-01-18 11:45:33,11:49:00
2086,02,153,2024-01-18 12:21:53,12:19:00
2086,02,153,2024-01-18 12:23:00,12:19:00
2086,02,153,2024-01-18 12:32:59,12:34:00
2092,01,153,2024-01-18 12:42:01,12:41:00
2094,01,153,2024-01-18 11:59:35,11:56:00
2095,01,153,2024-01-18 11:54:38,11:56:00
2099,01,182,2024-01-18 12:23:00,12:22:00
2100,01,143,2024-01-18 11:47:34,11:43:00
2101,03,311,2024-01-18 11:56:38,11:52:00
2102,01,520,2024-01-18 12:39:01,12:37:00
2103,01,525,2024-01-18 12:42:01,12:41:00
2105,01,182,2024-01-18 12:39:03,12:34:00
2105,01,182,2024-01-18 12:39:03,12:44:00
2105,01,182,2024-01-18 11:45:34,11:44:00
2105,01,182,2024-01-18 12:17:54,12:14:00
2105,01,182,2024-01-18 12:17:54,12:24:00
2105,01,182,2024-01-18 12:10:42,12:04:00
2105,01,182,2024-01-18 12:10:42,12:14:00
2105,01,182,2024-01-18 12:11:49,12:04:00
2105,01,182,2024-01-18 12:11:49,12:14:00
2105,01,182,2024-01-18 12:32:59,12:34:00
2106,01,141,2024-01-18 12:05:40,12:04:00
2108,04,102,2024-01-18 11:47:36,11:41:00
2108,04,102,2024-01-18 11:48:42,11:41:00
2108,04,102,2024-01-18 11:53:43,12:01:00
2108,03,135,2024-01-18 12:27:00,12:30:00
2116,02,173,2024-01-18 11:45:30,11:44:00
2120,01,146,2024-01-18 12:07:42,12:15:00
2121,02,123,2024-01-18 11:48:34,11:47:00
2123,01,102,2024-01-18 12:32:03,12:30:00
2131,01,507,2024-01-18 11:59:36,11:55:00
2131,01,507,2024-01-18 11:59:36,12:05:00
2138,02,111,2024-01-18 12:25:01,12:23:00
2138,01,123,2024-01-18 12:45:09,12:42:00
2138,02,507,2024-01-18 12:14:53,12:13:00
2138,02,507,2024-01-18 12:14:53,12:23:00
2140,04,507,2024-01-18 12:25:52,12:21:00
2140,04,507,2024-01-18 12:25:52,12:31:00
2143,02,507,2024-01-18 11:52:35,11:48:00
2143,02,507,2024-01-18 11:52:35,11:58:00
2143,01,509,2024-01-18 12:27:03,12:24:00
2143,01,509,2024-01-18 12:27:03,12:34:00
2143,01,509,2024-01-18 11:55:44,11:54:00
2143,01,509,2024-01-18 11:55:44,12:04:00
2143,02,509,2024-01-18 12:17:54,12:11:00
2143,02,509,2024-01-18 12:17:54,12:21:00
2148,01,111,2024-01-18 12:40:06,12:43:00
2148,01,111,2024-01-18 12:27:02,12:19:00
2148,01,111,2024-01-18 12:27:02,12:31:00
2148,01,111,2024-01-18 12:28:56,12:31:00
2148,01,111,2024-01-18 11:49:35,11:43:00
2148,01,111,2024-01-18 11:49:35,11:55:00
2148,01,111,2024-01-18 12:17:52,12:19:00
2148,08,123,2024-01-18 12:18:55,12:17:00
2148,04,213,2024-01-18 12:19:47,12:17:00
2149,02,311,2024-01-18 12:34:01,12:32:00
2152,02,117,2024-01-18 12:23:58,12:25:00
2164,02,213,2024-01-18 12:34:56,12:32:00
2194,04,219,2024-01-18 12:05:41,12:01:00
2206,02,146,2024-01-18 11:48:36,11:54:00
2207,02,146,2024-01-18 11:47:36,11:54:00
2208,02,147,2024-01-18 12:01:37,12:00:00
2211,02,146,2024-01-18 12:39:02,12:41:00
2218,01,147,2024-01-18 12:18:58,12:20:00
2222,01,142,2024-01-18 12:15:52,12:20:00
2250,02,135,2024-01-18 12:15:53,12:12:00
2252,02,123,2024-01-18 12:14:52,12:12:00
2261,01,305,2024-01-18 12:32:56,12:40:00
2263,02,143,2024-01-18 12:38:07,12:35:00
2273,01,173,2024-01-18 12:14:56,12:16:00
2275,03,147,2024-01-18 12:23:54,12:32:00
2275,03,147,2024-01-18 12:27:02,12:32:00
2275,03,147,2024-01-18 12:28:54,12:32:00
2275,03,147,2024-01-18 12:30:57,12:32:00
2282,01,173,2024-01-18 12:24:59,12:26:00
2305,04,L48,2024-01-18 12:28:55,12:27:00
2312,01,704,2024-01-18 11:52:35,12:00:00
2313,02,168,2024-01-18 11:59:22,11:55:00
2317,02,514,2024-01-18 12:08:42,12:07:00
2322,02,115,2024-01-18 12:33:59,12:26:00
2322,01,183,2024-01-18 12:09:47,12:08:00
2325,71,L22,2024-01-18 12:17:53,12:25:00
2339,01,L20,2024-01-18 11:54:38,11:52:00
2346,02,147,2024-01-18 11:52:30,11:51:00
2358,02,L51,2024-01-18 12:28:53,12:33:00
2360,01,L51,2024-01-18 11:45:30,11:44:00
2379,01,183,2024-01-18 12:23:57,12:18:00
2379,01,183,2024-01-18 12:25:59,12:18:00
2379,01,183,2024-01-18 12:25:59,12:33:00
2379,01,183,2024-01-18 12:30:58,12:33:00
2379,01,183,2024-01-18 12:09:48,12:03:00
2379,01,183,2024-01-18 12:09:48,12:18:00
2379,01,183,2024-01-18 12:15:53,12:18:00
2379,01,183,2024-01-18 11:53:43,11:48:00
2379,01,183,2024-01-18 11:54:38,11:48:00
2379,01,183,2024-01-18 11:58:41,12:03:00
2379,01,183,2024-01-18 11:59:36,12:03:00
2417,01,311,2024-01-18 12:06:34,12:05:00
2418,01,311,2024-01-18 12:36:06,12:35:00
2422,02,219,2024-01-18 12:41:59,12:40:00
2436,02,L47,2024-01-18 12:11:49,12:17:00
2440,03,173,2024-01-18 12:18:59,12:20:00
2440,03,173,2024-01-18 12:36:06,12:35:00
2440,03,173,2024-01-18 12:37:01,12:35:00
2440,03,173,2024-01-18 12:38:07,12:35:00
2440,03,173,2024-01-18 11:51:37,11:50:00
2440,03,173,2024-01-18 11:55:44,11:50:00
2440,03,173,2024-01-18 11:56:39,11:50:00
2440,03,173,2024-01-18 11:58:41,12:05:00
2440,03,173,2024-01-18 11:59:36,12:05:00
2440,05,502,2024-01-18 12:15:53,12:19:00
2449,01,183,2024-01-18 12:42:01,12:41:00
2451,01,199,2024-01-18 12:28:47,12:35:00
2477,02,311,2024-01-18 12:32:06,12:39:00
2477,02,311,2024-01-18 12:33:01,12:39:00
2477,02,311,2024-01-18 12:35:01,12:39:00
2477,02,311,2024-01-18 12:36:06,12:39:00
2477,02,311,2024-01-18 12:01:35,12:09:00
2477,02,311,2024-01-18 12:04:45,12:09:00
2477,02,311,2024-01-18 12:06:40,12:09:00
2477,02,311,2024-01-18 12:07:45,12:09:00
2481,01,502,2024-01-18 11:55:44,11:57:00
2820,01,L22,2024-01-18 12:15:54,12:12:00
2865,01,L51,2024-01-18 11:51:40,11:48:00
