Lines,Lon,VehicleNumber,Time,Lat,Brigade,Zespol,Slupek
502,21.1406775,7837,2024-01-18 17:47:58,52.2281606,718,2018,02
502,21.242102,7837,2024-01-18 18:03:01,52.2167247,718,2349,01
502,21.1603497,7837,2024-01-18 18:29:09,52.2260382,718,2020,01
514,21.0784274,7839,2024-01-18 17:50:01,52.2347374,1,2100,04
514,21.2246821,7839,2024-01-18 18:20:08,52.2504306,1,2282,02
514,21.2438109,7839,2024-01-18 18:24:12,52.2486486,1,2285,03
514,21.2437877,7839,2024-01-18 18:26:14,52.2486396,1,2285,03
514,21.2437934,7839,2024-01-18 18:27:09,52.2486406,1,2285,03
514,21.2437859,7839,2024-01-18 18:28:14,52.2486422,1,2285,03
514,21.2437897,7839,2024-01-18 18:29:09,52.2486349,1,2285,03
514,21.2437884,7839,2024-01-18 18:30:15,52.2486474,1,2285,03
514,21.2437935,7839,2024-01-18 18:31:13,52.248636,1,2285,03
514,21.2438122,7839,2024-01-18 18:32:10,52.2486372,1,2285,03
525,21.1628814,7843,2024-01-18 17:50:57,52.2216197,3,2024,01
525,21.1966022,7843,2024-01-18 18:08:04,52.2083057,3,2032,01
525,21.196609,7843,2024-01-18 18:09:02,52.2082969,3,2032,01
525,21.1966182,7843,2024-01-18 18:10:09,52.208295,3,2032,01
525,21.1966132,7843,2024-01-18 18:13:05,52.2083142,3,2032,01
525,21.1966072,7843,2024-01-18 18:17:10,52.2083056,3,2032,01
525,21.1631149,7843,2024-01-18 18:29:09,52.2212067,3,2024,02
704,21.0881905,7844,2024-01-18 18:32:10,52.2446317,03,2008,14
158,21.1127804,7845,2024-01-18 17:57:02,52.2362999,3,2105,02
509,21.0354552,7849,2024-01-18 18:17:10,52.2537382,6,1003,01
509,21.0630404,7849,2024-01-18 18:28:14,52.2285414,6,2097,03
509,21.1011509,7849,2024-01-18 18:38:15,52.2255417,6,2128,01
141,21.1006687,7850,2024-01-18 18:02:05,52.2425447,4,2011,02
141,21.1011681,7850,2024-01-18 18:03:01,52.2409124,4,2362,01
141,21.0455534,7850,2024-01-18 18:40:17,52.2187144,4,7074,01
145,21.1275965,7852,2024-01-18 18:20:06,52.2557086,5,2074,02
145,21.0103549,7855,2024-01-18 18:07:09,52.2931256,1,1159,01
182,21.1129641,7858,2024-01-18 17:42:54,52.2362642,2,2105,01
182,21.1129561,7858,2024-01-18 17:43:49,52.2362767,2,2105,01
145,21.0314149,7859,2024-01-18 17:45:55,52.2884592,9,1083,02
520,21.0020851,7861,2024-01-18 18:09:03,52.243103,7,7016,01
520,21.0021074,7861,2024-01-18 18:10:09,52.2431025,7,7016,01
520,21.0020992,7861,2024-01-18 18:11:04,52.2431072,7,7016,01
502,21.2173814,7863,2024-01-18 18:08:04,52.2144135,465,2440,05
502,21.2173932,7863,2024-01-18 18:10:09,52.2144214,465,2440,05
502,21.2173897,7863,2024-01-18 18:11:05,52.2144327,465,2440,05
502,21.2173947,7863,2024-01-18 18:13:05,52.214414,465,2440,05
502,21.2173889,7863,2024-01-18 18:14:12,52.2144266,465,2440,05
502,21.2173782,7863,2024-01-18 18:17:09,52.2144271,465,2440,05
502,21.2316945,7864,2024-01-18 18:29:09,52.2233267,719,2294,02
502,21.2380144,7864,2024-01-18 18:30:16,52.2231265,719,2295,02
143,21.0871406,7865,2024-01-18 18:35:17,52.2449842,5,2008,22
182,21.1129581,7869,2024-01-18 17:59:03,52.236282,4,2105,01
182,21.1129529,7869,2024-01-18 18:00:01,52.2362801,4,2105,01
182,21.1129347,7869,2024-01-18 18:02:05,52.2362644,4,2105,01
202,21.1287598,7872,2024-01-18 17:43:48,52.2401683,54,2259,01
202,21.081908,7872,2024-01-18 18:40:17,52.2503607,54,2114,02
162,21.049673,7873,2024-01-18 18:17:10,52.2037607,011,3059,02
162,21.0304275,7873,2024-01-18 18:30:16,52.2307697,011,7069,02
168,21.0964699,7875,2024-01-18 17:48:55,52.2323612,2,2250,02
168,21.1127686,7875,2024-01-18 18:05:06,52.2362962,2,2105,02
168,21.1065934,7875,2024-01-18 18:11:04,52.23392,2,2103,01
525,21.1642592,7879,2024-01-18 18:28:15,52.217845,319,2025,01
182,20.9649019,7880,2024-01-18 17:59:03,52.2180354,9,4044,03
182,21.0882746,7880,2024-01-18 18:31:13,52.2359672,9,2101,02
102,21.0420141,7881,2024-01-18 17:42:53,52.2421124,58,1231,07
102,21.0419982,7881,2024-01-18 17:43:49,52.2420919,58,1231,07
102,21.0398832,7881,2024-01-18 17:50:01,52.2437124,58,1232,04
523,20.9300355,7885,2024-01-18 17:55:01,52.2405396,4,5032,02
523,20.912609,7885,2024-01-18 18:00:01,52.2428107,4,5061,02
411,21.0917247,7887,2024-01-18 17:59:03,52.2252685,04,2146,02
143,20.9926276,7888,2024-01-18 18:26:11,52.2163768,7,4029,55
143,20.9926071,7888,2024-01-18 18:28:12,52.2163806,7,4029,55
143,20.9926068,7888,2024-01-18 18:29:08,52.2163638,7,4029,55
143,20.9925938,7888,2024-01-18 18:30:15,52.2163723,7,4029,55
143,20.9926255,7888,2024-01-18 18:31:12,52.216357,7,4029,55
143,20.9926313,7888,2024-01-18 18:32:06,52.2163771,7,4029,55
143,20.9926355,7888,2024-01-18 18:33:13,52.2163815,7,4029,55
704,21.2224106,7889,2024-01-18 18:30:12,52.2238641,1,2293,01
143,21.03712,7890,2024-01-18 17:42:49,52.222392,012,7071,02
L47,21.2962331,80102,2024-01-18 18:10:06,52.2436275,1,2845,02
L48,21.2755775,80103,2024-01-18 18:13:03,52.2473911,02,2432,02
L26,21.1525288,80108,2024-01-18 17:57:02,52.3108918,2,1345,01
308,21.0030864,8301,2024-01-18 18:18:04,52.1888693,02,3240,05
168,21.0014166,8303,2024-01-18 18:04:05,52.1948016,7,3239,01
317,21.0387016,8306,2024-01-18 18:27:04,52.172785,4,3097,02
187,20.9873371,8307,2024-01-18 17:44:56,52.2163918,11,4029,04
148,21.0521746,8308,2024-01-18 18:20:04,52.1594656,9,3151,02
217,21.0718003,8309,2024-01-18 18:20:08,52.1610456,07,3354,02
162,21.035248,8310,2024-01-18 18:08:01,52.2558476,013,1003,10
143,21.177151,8312,2024-01-18 18:04:53,52.256985,1,2086,01
143,21.177151,8312,2024-01-18 18:05:54,52.256985,1,2086,01
143,21.1771903,8312,2024-01-18 18:07:36,52.2569671,1,2086,01
165,21.0023753,8314,2024-01-18 17:49:53,52.158248,1,3104,01
148,21.0440894,8324,2024-01-18 18:29:06,52.1677723,6,3099,02
727,21.0181818,8325,2024-01-18 18:17:10,52.115092,2,3021,01
727,21.0271483,8325,2024-01-18 18:32:07,52.0731208,2,3167,01
710,20.9962173,8326,2024-01-18 18:01:05,52.1885085,1,R-07,00
724,21.0963148,8327,2024-01-18 17:43:50,52.1270173,667,3334,01
709,21.0224098,8328,2024-01-18 18:08:03,52.0832883,5,3162,04
136,20.993725,8329,2024-01-18 17:57:01,52.1887716,3,3259,01
709,21.0224033,8330,2024-01-18 18:14:14,52.0832831,012,3162,04
165,21.0241491,8331,2024-01-18 17:50:01,52.1797541,4,3009,16
165,21.0241491,8331,2024-01-18 17:50:01,52.1797541,4,3009,16
165,21.0241491,8331,2024-01-18 17:50:01,52.1797541,4,3009,16
165,21.0062033,8331,2024-01-18 18:02:04,52.1780626,4,3249,02
165,20.9929833,8331,2024-01-18 18:10:04,52.1670406,4,3268,01
522,21.0782708,8334,2024-01-18 18:34:12,52.1570695,010,3385,03
709,21.023761,8335,2024-01-18 17:47:42,52.18005,2,3009,12
709,21.023761,8335,2024-01-18 17:48:43,52.18005,2,3009,12
709,21.023763,8335,2024-01-18 17:49:43,52.180051,2,3009,12
709,21.023763,8335,2024-01-18 17:50:44,52.180051,2,3009,12
141,21.1011673,8338,2024-01-18 17:43:44,52.2426213,2,2011,01
709,21.0192951,8339,2024-01-18 17:43:46,52.0887218,4,3161,02
710,21.1167103,8340,2024-01-18 17:44:49,52.0966905,5,3193,02
710,21.0963223,8340,2024-01-18 18:28:59,52.1270396,5,3334,01
710,21.1172875,8340,2024-01-18 18:38:14,52.0947321,5,3193,01
503,21.00221,8343,2024-01-18 18:14:05,52.25471,11,7052,02
503,21.00221,8343,2024-01-18 18:14:53,52.25471,11,7052,02
503,21.00221,8343,2024-01-18 18:16:58,52.25471,11,7052,02
503,21.00221,8343,2024-01-18 18:18:02,52.25471,11,7052,02
503,21.00221,8343,2024-01-18 18:19:05,52.25471,11,7052,02
503,21.00221,8343,2024-01-18 18:20:07,52.25471,11,7052,02
503,21.00221,8343,2024-01-18 18:21:14,52.25471,11,7052,02
503,21.00221,8343,2024-01-18 18:22:01,52.25471,11,7052,02
402,21.156073,8344,2024-01-18 18:09:58,52.240323,5,2064,04
710,21.1214333,8347,2024-01-18 17:45:46,52.088475,3,3184,01
148,20.986793,8349,2024-01-18 18:14:49,52.158078,8,4147,02
709,21.018405,8351,2024-01-18 17:48:39,52.10504,9,3023,01
709,21.0225983,8351,2024-01-18 17:55:01,52.08227,9,3162,03
709,21.0183867,8351,2024-01-18 18:31:59,52.1236417,9,3019,02
138,21.0527683,8355,2024-01-18 18:19:10,52.25973,7,1034,01
138,21.038475,8355,2024-01-18 18:24:00,52.25132,7,1002,01
136,20.9574362,8358,2024-01-18 18:40:07,52.2376903,10,5028,01
709,21.0187833,8364,2024-01-18 18:10:00,52.09164,7,3191,01
187,20.9148728,8365,2024-01-18 18:17:05,52.1995726,8,4092,03
193,21.037855,8366,2024-01-18 18:16:58,52.1543267,07,3136,04
709,21.0175433,8367,2024-01-18 18:35:09,52.1430733,1,3015,01
519,21.0524683,8368,2024-01-18 18:06:57,52.184725,1,3032,01
511,20.975292,8446,2024-01-18 18:34:12,52.317142,1,1019,02
527,21.059927,8447,2024-01-18 18:31:14,52.315777,55,1359,01
705,21.037247,8449,2024-01-18 18:33:14,52.402218,66,1268,01
190,21.030247,8450,2024-01-18 17:52:55,52.252819,3,1163,02
132,21.060389,8457,2024-01-18 18:33:15,52.315094,3,1359,02
132,21.060402,8457,2024-01-18 18:34:11,52.31509,3,1359,02
132,21.06041,8457,2024-01-18 18:35:17,52.31509,3,1359,02
132,21.060402,8457,2024-01-18 18:36:13,52.315094,3,1359,02
132,21.060389,8457,2024-01-18 18:38:06,52.315094,3,1359,02
132,21.060394,8457,2024-01-18 18:40:16,52.315086,3,1359,02
527,21.049723,8460,2024-01-18 18:00:00,52.292198,013,1146,03
112,20.913973,8464,2024-01-18 17:43:47,52.236206,7,5060,01
112,20.881687,8464,2024-01-18 18:09:00,52.21637,7,5092,01
120,21.066618,8465,2024-01-18 18:35:17,52.314075,5,1524,01
504,21.0337483,8503,2024-01-18 18:17:51,52.15009,6,3134,01
504,21.0687217,8503,2024-01-18 18:36:06,52.1289533,6,3400,01
504,21.0687217,8503,2024-01-18 18:38:13,52.1289533,6,3400,01
504,21.0687217,8503,2024-01-18 18:40:06,52.1289533,6,3400,01
709,21.018035,8505,2024-01-18 18:21:54,52.1225283,014,3019,01
174,21.0137083,8509,2024-01-18 18:33:12,52.195575,6,3231,01
519,21.04971,8510,2024-01-18 18:00:47,52.187328,3,3031,01
217,21.024133,8511,2024-01-18 17:45:44,52.179658,1,3009,15
217,21.024118,8511,2024-01-18 17:47:44,52.179659,1,3009,15
251,21.1033917,8517,2024-01-18 17:57:44,52.1269733,61,3049,01
251,21.12253,8517,2024-01-18 18:13:57,52.0907317,61,3185,01
710,20.9962117,8521,2024-01-18 18:30:02,52.1885117,08,R-07,00
710,21.0256517,8532,2024-01-18 18:10:03,52.0754833,09,3431,01
504,21.0497083,8534,2024-01-18 18:14:57,52.1370167,011,3195,04
710,21.1113533,8560,2024-01-18 18:35:05,52.0779083,2,3180,02
402,21.1361883,8567,2024-01-18 18:12:56,52.2412767,7,2059,04
402,21.156076,8567,2024-01-18 18:30:12,52.240324,7,2064,04
402,21.156076,8567,2024-01-18 18:30:52,52.240324,7,2064,04
402,21.156079,8567,2024-01-18 18:31:53,52.240319,7,2064,04
402,21.156079,8567,2024-01-18 18:33:13,52.240319,7,2064,04
402,21.156089,8567,2024-01-18 18:33:54,52.240313,7,2064,04
402,21.156089,8567,2024-01-18 18:35:14,52.240313,7,2064,04
188,21.0787517,8571,2024-01-18 17:44:44,52.2354083,5,2100,02
523,21.1076183,8576,2024-01-18 18:10:54,52.2490033,12,2108,71
523,21.1076183,8576,2024-01-18 18:13:00,52.2490033,12,2108,71
523,21.1076183,8576,2024-01-18 18:14:04,52.2490033,12,2108,71
523,21.1076183,8576,2024-01-18 18:15:06,52.2490033,12,2108,71
402,21.1560617,8577,2024-01-18 17:54:52,52.2403117,013,2064,04
402,21.1560617,8577,2024-01-18 17:55:56,52.2403117,013,2064,04
402,21.1560617,8577,2024-01-18 17:56:58,52.2403117,013,2064,04
402,21.1560617,8577,2024-01-18 17:57:46,52.2403117,013,2064,04
